xi	yi
0.01	1.03	
0.02	1.06089	
0.03	1.09225	
0.04	1.12405	
0.05	1.15631	
0.06	1.18903	
0.07	1.22219	
0.08	1.25581	
0.09	1.28988	
0.1	    1.32441	
0.11	1.35938	
0.12	1.39482	
0.13	1.4307	
0.14	1.46704	
0.15	1.50382	
0.16	1.54107	
0.17	1.57876	
0.18	1.61691	
0.19	1.65551	
0.2	    1.69456	
0.21	1.73407	
0.22	1.77402	
0.23	1.81443	
0.24	1.8553	
0.25	1.89661	
0.26	1.93838	
0.27	1.9806	
0.28	2.02327	
0.29	2.0664	
0.3	2.10998	
0.31	2.15401	
0.32	2.19849	
0.33	2.24342	
0.34	2.28881	
0.35	2.33465	
0.36	2.38094	
0.37	2.42768	
0.38	2.47488	
0.39	2.52252	
0.4	2.57062	
0.41	2.61917	
0.42	2.66818	
0.43	2.71763	
0.44	2.76754	
0.45	2.8179	
0.46	2.86871	
0.47	2.91998	
0.48	2.97169	
0.49	3.02386	
0.5	3.07648	
0.51	3.12955	
0.52	3.18308	
0.53	3.23705	
0.54	3.29148	
0.55	3.34636	
0.56	3.40169	
0.57	3.45747	
0.58	3.51371	
0.59	3.57039	
0.6	3.62753	
0.61	3.68512	
0.62	3.74316	
0.63	3.80166	
0.64	3.8606	
0.65	3.92	
0.66	3.97985	
0.67	4.04015	
0.68	4.1009	
0.69	4.1621	
0.7	4.22376	
0.71	4.28586	
0.72	4.34842	
0.73	4.41143	
0.74	4.4749	
0.75	4.53881	
0.76	4.60317	
0.77	4.66799	
0.78	4.73326	
0.79	4.79898	
0.8	4.86515	
0.81	4.93177	
0.82	4.99885	
0.83	5.06637	
0.84	5.13435	
0.85	5.20278	
0.86	5.27166	
0.87	5.34099	
0.88	5.41077	
0.89	5.48101	
0.9	5.5517	
0.91	5.62283	
0.92	5.69442	
0.93	5.76646	
0.94	5.83895	
0.95	5.9119	
0.96	5.98529	
0.97	6.05914	
0.98	6.13343	
0.99	6.20818	
1	    6.28338	
